human_gene_id,mouse_gene_id,zebrafish_gene_id,gene_name,gene_biotype,description,symbol
ENSG00000109171,NA,NA,SLAIN2,protein_coding,SLAIN motif family member 2 [Source:HGNC Symbol;Acc:HGNC:29282],SLAIN2
ENSG00000145216,NA,NA,FIP1L1,protein_coding,factor interacting with PAPOLA and CPSF1 [Source:HGNC Symbol;Acc:HGNC:19124],FIP1L1
ENSG00000174799,NA,NA,CEP135,protein_coding,centrosomal protein 135 [Source:HGNC Symbol;Acc:HGNC:29086],CEP135
ENSG00000150471,NA,NA,ADGRL3,protein_coding,adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974],ADGRL3
ENSG00000145242,NA,NA,EPHA5,protein_coding,EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389],EPHA5
ENSG00000173597,NA,NA,SULT1B1,protein_coding,sulfotransferase family 1B member 1 [Source:HGNC Symbol;Acc:HGNC:17845],SULT1B1
ENSG00000132464,ENSG00000132464,NA,ENAM,protein_coding,enamelin [Source:HGNC Symbol;Acc:HGNC:3344],ENAM
ENSG00000173542,NA,NA,MOB1B,protein_coding,MOB kinase activator 1B [Source:HGNC Symbol;Acc:HGNC:29801],MOB1B
ENSG00000132466,NA,NA,ANKRD17,protein_coding,ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575],ANKRD17
ENSG00000124882,ENSG00000124882,NA,EREG,protein_coding,epiregulin [Source:HGNC Symbol;Acc:HGNC:3443],EREG
ENSG00000169116,NA,NA,PARM1,protein_coding,prostate androgen-regulated mucin-like protein 1 [Source:HGNC Symbol;Acc:HGNC:24536],PARM1
ENSG00000174796,NA,ENSG00000174796,THAP6,protein_coding,THAP domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23189],THAP6
ENSG00000174792,NA,NA,ODAPH,protein_coding,odontogenesis associated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:26300],ODAPH
ENSG00000138768,ENSG00000138768,NA,USO1,protein_coding,USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904],USO1
ENSG00000189157,NA,NA,FAM47E,protein_coding,family with sequence similarity 47 member E [Source:HGNC Symbol;Acc:HGNC:34343],FAM47E
ENSG00000138764,NA,NA,CCNG2,protein_coding,cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593],CCNG2
ENSG00000163291,ENSG00000163291,NA,PAQR3,protein_coding,progestin and adipoQ receptor family member 3 [Source:HGNC Symbol;Acc:HGNC:30130],PAQR3
ENSG00000152795,NA,NA,HNRNPDL,protein_coding,heterogeneous nuclear ribonucleoprotein D like [Source:HGNC Symbol;Acc:HGNC:5037],HNRNPDL
ENSG00000173085,NA,NA,COQ2,protein_coding,"coenzyme Q2, polyprenyltransferase [Source:HGNC Symbol;Acc:HGNC:25223]",COQ2
ENSG00000163625,NA,NA,WDFY3,protein_coding,WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751],WDFY3
ENSG00000163644,NA,ENSG00000163644,PPM1K,protein_coding,"protein phosphatase, Mg2+/Mn2+ dependent 1K [Source:HGNC Symbol;Acc:HGNC:25415]",PPM1K
ENSG00000145337,NA,NA,PYURF,protein_coding,PIGY upstream reading frame [Source:HGNC Symbol;Acc:HGNC:44317],PYURF
ENSG00000145335,NA,NA,SNCA,protein_coding,synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138],SNCA
ENSG00000138722,NA,NA,MMRN1,protein_coding,multimerin 1 [Source:HGNC Symbol;Acc:HGNC:7178],MMRN1
ENSG00000163104,NA,NA,SMARCAD1,protein_coding,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1 [Source:HGNC Symbol;Acc:HGNC:18398]",SMARCAD1
ENSG00000182168,NA,NA,UNC5C,protein_coding,unc-5 netrin receptor C [Source:HGNC Symbol;Acc:HGNC:12569],UNC5C
ENSG00000151247,NA,NA,EIF4E,protein_coding,eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287],EIF4E
ENSG00000138821,NA,NA,SLC39A8,protein_coding,solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862],SLC39A8
ENSG00000109323,NA,NA,MANBA,protein_coding,mannosidase beta [Source:HGNC Symbol;Acc:HGNC:6831],MANBA
ENSG00000169836,NA,NA,TACR3,protein_coding,tachykinin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11528],TACR3
ENSG00000109475,NA,NA,RPL34,protein_coding,ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340],RPL34
ENSG00000138802,NA,NA,SEC24B,protein_coding,"SEC24 homolog B, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10704]",SEC24B
ENSG00000174749,NA,NA,FAM241A,protein_coding,family with sequence similarity 241 member A [Source:HGNC Symbol;Acc:HGNC:26813],FAM241A
ENSG00000073331,NA,NA,ALPK1,protein_coding,alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:20917],ALPK1
ENSG00000145388,NA,NA,METTL14,protein_coding,methyltransferase like 14 [Source:HGNC Symbol;Acc:HGNC:29330],METTL14
ENSG00000164066,NA,NA,INTU,protein_coding,inturned planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:29239],INTU
ENSG00000138709,NA,NA,LARP1B,protein_coding,La ribonucleoprotein domain family member 1B [Source:HGNC Symbol;Acc:HGNC:24704],LARP1B
ENSG00000077684,NA,NA,JADE1,protein_coding,jade family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30027],JADE1
ENSG00000138650,NA,NA,PCDH10,protein_coding,protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404],PCDH10
ENSG00000196782,ENSG00000196782,NA,MAML3,protein_coding,mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272],MAML3
ENSG00000179387,NA,NA,ELMOD2,protein_coding,ELMO domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28111],ELMOD2
ENSG00000164164,ENSG00000164164,NA,OTUD4,protein_coding,OTU deubiquitinase 4 [Source:HGNC Symbol;Acc:HGNC:24949],OTUD4
ENSG00000164167,NA,NA,LSM6,protein_coding,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17017]",LSM6
ENSG00000120519,ENSG00000120519,ENSG00000120519,SLC10A7,protein_coding,solute carrier family 10 member 7 [Source:HGNC Symbol;Acc:HGNC:23088],SLC10A7
ENSG00000151617,NA,NA,EDNRA,protein_coding,endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179],EDNRA
ENSG00000170390,NA,NA,DCLK2,protein_coding,doublecortin like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19002],DCLK2
ENSG00000198589,NA,NA,LRBA,protein_coding,LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742],LRBA
ENSG00000059691,NA,NA,GATB,protein_coding,glutamyl-tRNA amidotransferase subunit B [Source:HGNC Symbol;Acc:HGNC:8849],GATB
ENSG00000170006,NA,NA,TMEM154,protein_coding,transmembrane protein 154 [Source:HGNC Symbol;Acc:HGNC:26489],TMEM154
ENSG00000164125,NA,NA,FAM198B,protein_coding,family with sequence similarity 198 member B [Source:HGNC Symbol;Acc:HGNC:25312],FAM198B
ENSG00000205208,NA,NA,C4orf46,protein_coding,chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:27320],C4orf46
ENSG00000248771,NA,NA,SMIM31,protein_coding,small integral membrane protein 31 [Source:HGNC Symbol;Acc:HGNC:49638],SMIM31
ENSG00000109466,NA,ENSG00000109466,KLHL2,protein_coding,kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353],KLHL2
ENSG00000154447,ENSG00000154447,NA,SH3RF1,protein_coding,SH3 domain containing ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17650],SH3RF1
ENSG00000164106,NA,NA,SCRG1,protein_coding,stimulator of chondrogenesis 1 [Source:HGNC Symbol;Acc:HGNC:17036],SCRG1
ENSG00000164118,NA,NA,CEP44,protein_coding,centrosomal protein 44 [Source:HGNC Symbol;Acc:HGNC:29356],CEP44
ENSG00000154553,NA,NA,PDLIM3,protein_coding,PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767],PDLIM3
ENSG00000164366,NA,NA,CCDC127,protein_coding,coiled-coil domain containing 127 [Source:HGNC Symbol;Acc:HGNC:30520],CCDC127
ENSG00000180104,NA,NA,EXOC3,protein_coding,exocyst complex component 3 [Source:HGNC Symbol;Acc:HGNC:30378],EXOC3
ENSG00000066230,ENSG00000066230,NA,SLC9A3,protein_coding,solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073],SLC9A3
ENSG00000171368,NA,NA,TPPP,protein_coding,tubulin polymerization promoting protein [Source:HGNC Symbol;Acc:HGNC:24164],TPPP
ENSG00000174358,ENSG00000174358,NA,SLC6A19,protein_coding,solute carrier family 6 member 19 [Source:HGNC Symbol;Acc:HGNC:27960],SLC6A19
ENSG00000113430,NA,NA,IRX4,protein_coding,iroquois homeobox 4 [Source:HGNC Symbol;Acc:HGNC:6129],IRX4
ENSG00000164151,NA,NA,ICE1,protein_coding,interactor of little elongation complex ELL subunit 1 [Source:HGNC Symbol;Acc:HGNC:29154],ICE1
ENSG00000215217,NA,ENSG00000215217,C5orf49,protein_coding,chromosome 5 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:27028],C5orf49
ENSG00000150753,NA,NA,CCT5,protein_coding,chaperonin containing TCP1 subunit 5 [Source:HGNC Symbol;Acc:HGNC:1618],CCT5
ENSG00000145495,NA,NA,MARCH6,protein_coding,membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550],MARCH6
ENSG00000164236,ENSG00000164236,NA,ANKRD33B,protein_coding,ankyrin repeat domain 33B [Source:HGNC Symbol;Acc:HGNC:35240],ANKRD33B
ENSG00000112977,NA,NA,DAP,protein_coding,death associated protein [Source:HGNC Symbol;Acc:HGNC:2672],DAP
ENSG00000150712,NA,NA,MTMR12,protein_coding,myotubularin related protein 12 [Source:HGNC Symbol;Acc:HGNC:18191],MTMR12
ENSG00000113389,NA,NA,NPR3,protein_coding,natriuretic peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:7945],NPR3
ENSG00000164175,NA,NA,SLC45A2,protein_coding,solute carrier family 45 member 2 [Source:HGNC Symbol;Acc:HGNC:16472],SLC45A2
ENSG00000113456,ENSG00000113456,NA,RAD1,protein_coding,RAD1 checkpoint DNA exonuclease [Source:HGNC Symbol;Acc:HGNC:9806],RAD1
ENSG00000113492,NA,NA,AGXT2,protein_coding,alanine--glyoxylate aminotransferase 2 [Source:HGNC Symbol;Acc:HGNC:14412],AGXT2
ENSG00000152582,NA,NA,SPEF2,protein_coding,sperm flagellar 2 [Source:HGNC Symbol;Acc:HGNC:26293],SPEF2
ENSG00000145626,NA,NA,UGT3A1,protein_coding,UDP glycosyltransferase family 3 member A1 [Source:HGNC Symbol;Acc:HGNC:26625],UGT3A1
ENSG00000168671,NA,NA,UGT3A2,protein_coding,UDP glycosyltransferase family 3 member A2 [Source:HGNC Symbol;Acc:HGNC:27266],UGT3A2
ENSG00000145604,ENSG00000145604,NA,SKP2,protein_coding,S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901],SKP2
ENSG00000113594,NA,NA,LIFR,protein_coding,LIF receptor alpha [Source:HGNC Symbol;Acc:HGNC:6597],LIFR
ENSG00000112964,NA,NA,GHR,protein_coding,growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263],GHR
ENSG00000016082,ENSG00000016082,NA,ISL1,protein_coding,ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132],ISL1
ENSG00000164172,NA,NA,MOCS2,protein_coding,molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:HGNC:7193],MOCS2
ENSG00000134352,ENSG00000134352,NA,IL6ST,protein_coding,interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021],IL6ST
ENSG00000035499,NA,NA,DEPDC1B,protein_coding,DEP domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24902],DEPDC1B
ENSG00000164181,NA,NA,ELOVL7,protein_coding,ELOVL fatty acid elongase 7 [Source:HGNC Symbol;Acc:HGNC:26292],ELOVL7
ENSG00000164197,NA,NA,RNF180,protein_coding,ring finger protein 180 [Source:HGNC Symbol;Acc:HGNC:27752],RNF180
ENSG00000049192,ENSG00000049192,NA,ADAMTS6,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222],ADAMTS6
ENSG00000134061,NA,NA,CD180,protein_coding,CD180 molecule [Source:HGNC Symbol;Acc:HGNC:6726],CD180
ENSG00000183323,NA,NA,CCDC125,protein_coding,coiled-coil domain containing 125 [Source:HGNC Symbol;Acc:HGNC:28924],CCDC125
ENSG00000197822,NA,NA,OCLN,protein_coding,occludin [Source:HGNC Symbol;Acc:HGNC:8104],OCLN
ENSG00000172062,NA,NA,SMN1,protein_coding,"survival of motor neuron 1, telomeric [Source:HGNC Symbol;Acc:HGNC:11117]",SMN1
ENSG00000145736,NA,NA,GTF2H2,protein_coding,general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656],GTF2H2
ENSG00000164326,NA,NA,CARTPT,protein_coding,CART prepropeptide [Source:HGNC Symbol;Acc:HGNC:24323],CARTPT
ENSG00000083312,ENSG00000083312,NA,TNPO1,protein_coding,transportin 1 [Source:HGNC Symbol;Acc:HGNC:6401],TNPO1
ENSG00000164346,NA,NA,NSA2,protein_coding,"NSA2, ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:30728]",NSA2
ENSG00000113163,NA,NA,COL4A3BP,protein_coding,collagen type IV alpha 3 binding protein [Source:HGNC Symbol;Acc:HGNC:2205],COL4A3BP
ENSG00000122012,ENSG00000122012,NA,SV2C,protein_coding,synaptic vesicle glycoprotein 2C [Source:HGNC Symbol;Acc:HGNC:30670],SV2C
ENSG00000171540,NA,NA,OTP,protein_coding,orthopedia homeobox [Source:HGNC Symbol;Acc:HGNC:8518],OTP
ENSG00000113273,NA,NA,ARSB,protein_coding,arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714],ARSB
ENSG00000132837,NA,NA,DMGDH,protein_coding,dimethylglycine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24475],DMGDH
ENSG00000177034,ENSG00000177034,NA,MTX3,protein_coding,metaxin 3 [Source:HGNC Symbol;Acc:HGNC:24812],MTX3
ENSG00000164300,ENSG00000164300,NA,SERINC5,protein_coding,serine incorporator 5 [Source:HGNC Symbol;Acc:HGNC:18825],SERINC5
ENSG00000174695,NA,NA,TMEM167A,protein_coding,transmembrane protein 167A [Source:HGNC Symbol;Acc:HGNC:28330],TMEM167A
ENSG00000081189,NA,NA,MEF2C,protein_coding,myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996],MEF2C
ENSG00000164199,NA,NA,ADGRV1,protein_coding,adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416],ADGRV1
ENSG00000113369,NA,NA,ARRDC3,protein_coding,arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263],ARRDC3
ENSG00000113391,NA,NA,FAM172A,protein_coding,family with sequence similarity 172 member A [Source:HGNC Symbol;Acc:HGNC:25365],FAM172A
ENSG00000198677,NA,NA,TTC37,protein_coding,tetratricopeptide repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:23639],TTC37
ENSG00000145757,NA,NA,SPATA9,protein_coding,spermatogenesis associated 9 [Source:HGNC Symbol;Acc:HGNC:22988],SPATA9
ENSG00000164292,NA,NA,RHOBTB3,protein_coding,Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757],RHOBTB3
ENSG00000113441,NA,NA,LNPEP,protein_coding,leucyl and cystinyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:6656],LNPEP
ENSG00000145725,NA,NA,PPIP5K2,protein_coding,diphosphoinositol pentakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:29035],PPIP5K2
ENSG00000181751,ENSG00000181751,NA,C5orf30,protein_coding,chromosome 5 open reading frame 30 [Source:HGNC Symbol;Acc:HGNC:25052],C5orf30
ENSG00000151422,NA,NA,FER,protein_coding,FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655],FER
ENSG00000186952,NA,NA,TMEM232,protein_coding,transmembrane protein 232 [Source:HGNC Symbol;Acc:HGNC:37270],TMEM232
ENSG00000129595,NA,NA,EPB41L4A,protein_coding,erythrocyte membrane protein band 4.1 like 4A [Source:HGNC Symbol;Acc:HGNC:13278],EPB41L4A
ENSG00000134982,NA,NA,APC,protein_coding,"APC, WNT signaling pathway regulator [Source:HGNC Symbol;Acc:HGNC:583]",APC
ENSG00000092421,NA,NA,SEMA6A,protein_coding,semaphorin 6A [Source:HGNC Symbol;Acc:HGNC:10738],SEMA6A
ENSG00000151292,NA,NA,CSNK1G3,protein_coding,casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456],CSNK1G3
ENSG00000164244,NA,NA,PRRC1,protein_coding,proline rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28164],PRRC1
ENSG00000198108,NA,NA,CHSY3,protein_coding,chondroitin sulfate synthase 3 [Source:HGNC Symbol;Acc:HGNC:24293],CHSY3
ENSG00000158985,NA,NA,CDC42SE2,protein_coding,CDC42 small effector 2 [Source:HGNC Symbol;Acc:HGNC:18547],CDC42SE2
ENSG00000164398,NA,NA,ACSL6,protein_coding,acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496],ACSL6
ENSG00000198944,NA,ENSG00000198944,SOWAHA,protein_coding,sosondowah ankyrin repeat domain family member A [Source:HGNC Symbol;Acc:HGNC:27033],SOWAHA
ENSG00000155329,ENSG00000155329,NA,ZCCHC10,protein_coding,zinc finger CCHC-type containing 10 [Source:HGNC Symbol;Acc:HGNC:25954],ZCCHC10
ENSG00000053108,NA,NA,FSTL4,protein_coding,follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389],FSTL4
ENSG00000113558,NA,NA,SKP1,protein_coding,S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899],SKP1
ENSG00000043143,NA,NA,JADE2,protein_coding,jade family PHD finger 2 [Source:HGNC Symbol;Acc:HGNC:22984],JADE2
ENSG00000152700,NA,NA,SAR1B,protein_coding,secretion associated Ras related GTPase 1B [Source:HGNC Symbol;Acc:HGNC:10535],SAR1B
ENSG00000255833,NA,NA,TIFAB,protein_coding,TIFA inhibitor [Source:HGNC Symbol;Acc:HGNC:34024],TIFAB
ENSG00000177733,NA,NA,HNRNPA0,protein_coding,heterogeneous nuclear ribonucleoprotein A0 [Source:HGNC Symbol;Acc:HGNC:5030],HNRNPA0
ENSG00000120709,ENSG00000120709,NA,FAM53C,protein_coding,family with sequence similarity 53 member C [Source:HGNC Symbol;Acc:HGNC:1336],FAM53C
ENSG00000120705,ENSG00000120705,NA,ETF1,protein_coding,eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477],ETF1
ENSG00000228672,ENSG00000228672,NA,PROB1,protein_coding,proline rich basic protein 1 [Source:HGNC Symbol;Acc:HGNC:41906],PROB1
ENSG00000146005,NA,NA,PSD2,protein_coding,pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092],PSD2
ENSG00000185129,NA,NA,PURA,protein_coding,purine rich element binding protein A [Source:HGNC Symbol;Acc:HGNC:9701],PURA
ENSG00000113070,NA,NA,HBEGF,protein_coding,heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059],HBEGF
ENSG00000112855,NA,NA,HARS2,protein_coding,"histidyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:4817]",HARS2
ENSG00000204961,NA,NA,PCDHA9,protein_coding,protocadherin alpha 9 [Source:HGNC Symbol;Acc:HGNC:8675],PCDHA9
ENSG00000250120,NA,NA,PCDHA10,protein_coding,protocadherin alpha 10 [Source:HGNC Symbol;Acc:HGNC:8664],PCDHA10
ENSG00000204956,ENSG00000204956,NA,PCDHGA1,protein_coding,"protocadherin gamma subfamily A, 1 [Source:HGNC Symbol;Acc:HGNC:8696]",PCDHGA1
ENSG00000253305,ENSG00000253305,NA,PCDHGB6,protein_coding,"protocadherin gamma subfamily B, 6 [Source:HGNC Symbol;Acc:HGNC:8713]",PCDHGB6
ENSG00000081791,NA,NA,DELE1,protein_coding,DAP3 binding cell death enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28969],DELE1
ENSG00000131507,NA,NA,NDFIP1,protein_coding,Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592],NDFIP1
ENSG00000183775,NA,NA,KCTD16,protein_coding,potassium channel tetramerization domain containing 16 [Source:HGNC Symbol;Acc:HGNC:29244],KCTD16
ENSG00000145879,NA,NA,SPINK7,protein_coding,"serine peptidase inhibitor, Kazal type 7 (putative) [Source:HGNC Symbol;Acc:HGNC:24643]",SPINK7
ENSG00000155846,NA,NA,PPARGC1B,protein_coding,PPARG coactivator 1 beta [Source:HGNC Symbol;Acc:HGNC:30022],PPARGC1B
ENSG00000155850,NA,NA,SLC26A2,protein_coding,solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994],SLC26A2
ENSG00000011083,NA,NA,SLC6A7,protein_coding,solute carrier family 6 member 7 [Source:HGNC Symbol;Acc:HGNC:11054],SLC6A7
ENSG00000070814,NA,NA,TCOF1,protein_coding,treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654],TCOF1
ENSG00000164587,NA,NA,RPS14,protein_coding,ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387],RPS14
ENSG00000164591,NA,ENSG00000164591,MYOZ3,protein_coding,myozenin 3 [Source:HGNC Symbol;Acc:HGNC:18565],MYOZ3
ENSG00000132912,ENSG00000132912,NA,DCTN4,protein_coding,dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518],DCTN4
ENSG00000145908,NA,NA,ZNF300,protein_coding,zinc finger protein 300 [Source:HGNC Symbol;Acc:HGNC:13091],ZNF300
ENSG00000211445,NA,NA,GPX3,protein_coding,glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555],GPX3
ENSG00000086570,NA,ENSG00000086570,FAT2,protein_coding,FAT atypical cadherin 2 [Source:HGNC Symbol;Acc:HGNC:3596],FAT2
ENSG00000113140,NA,NA,SPARC,protein_coding,secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219],SPARC
ENSG00000164574,NA,NA,GALNT10,protein_coding,polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873],GALNT10
ENSG00000164576,NA,NA,SAP30L,protein_coding,SAP30 like [Source:HGNC Symbol;Acc:HGNC:25663],SAP30L
ENSG00000113196,NA,NA,HAND1,protein_coding,heart and neural crest derivatives expressed 1 [Source:HGNC Symbol;Acc:HGNC:4807],HAND1
ENSG00000170624,NA,NA,SGCD,protein_coding,sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807],SGCD
ENSG00000135074,NA,NA,ADAM19,protein_coding,ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197],ADAM19
ENSG00000164332,NA,NA,UBLCP1,protein_coding,ubiquitin like domain containing CTD phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28110],UBLCP1
ENSG00000145861,NA,NA,C1QTNF2,protein_coding,C1q and TNF related 2 [Source:HGNC Symbol;Acc:HGNC:14325],C1QTNF2
ENSG00000120137,ENSG00000120137,NA,PANK3,protein_coding,pantothenate kinase 3 [Source:HGNC Symbol;Acc:HGNC:19365],PANK3
ENSG00000134516,NA,NA,DOCK2,protein_coding,dedicator of cytokinesis 2 [Source:HGNC Symbol;Acc:HGNC:2988],DOCK2
ENSG00000145936,ENSG00000145936,NA,KCNMB1,protein_coding,potassium calcium-activated channel subfamily M regulatory beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:6285],KCNMB1
ENSG00000113719,NA,NA,ERGIC1,protein_coding,endoplasmic reticulum-golgi intermediate compartment 1 [Source:HGNC Symbol;Acc:HGNC:29205],ERGIC1
ENSG00000185056,NA,NA,C5orf47,protein_coding,chromosome 5 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:27026],C5orf47
ENSG00000164466,NA,NA,SFXN1,protein_coding,sideroflexin 1 [Source:HGNC Symbol;Acc:HGNC:16085],SFXN1
ENSG00000145920,ENSG00000145920,NA,CPLX2,protein_coding,complexin 2 [Source:HGNC Symbol;Acc:HGNC:2310],CPLX2
ENSG00000051596,ENSG00000051596,NA,THOC3,protein_coding,THO complex 3 [Source:HGNC Symbol;Acc:HGNC:19072],THOC3
ENSG00000285476,NA,NA,AC139491.7,protein_coding,novel transcript,AC139491.7
ENSG00000175414,NA,ENSG00000175414,ARL10,protein_coding,ADP ribosylation factor like GTPase 10 [Source:HGNC Symbol;Acc:HGNC:22042],ARL10
ENSG00000113194,ENSG00000113194,NA,FAF2,protein_coding,Fas associated factor family member 2 [Source:HGNC Symbol;Acc:HGNC:24666],FAF2
ENSG00000146083,NA,NA,RNF44,protein_coding,ring finger protein 44 [Source:HGNC Symbol;Acc:HGNC:19180],RNF44
ENSG00000146067,NA,NA,FAM193B,protein_coding,family with sequence similarity 193 member B [Source:HGNC Symbol;Acc:HGNC:25524],FAM193B
ENSG00000170074,NA,NA,FAM153A,protein_coding,family with sequence similarity 153 member A [Source:HGNC Symbol;Acc:HGNC:29940],FAM153A
ENSG00000145911,NA,NA,N4BP3,protein_coding,NEDD4 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:29852],N4BP3
ENSG00000050767,ENSG00000050767,NA,COL23A1,protein_coding,collagen type XXIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22990],COL23A1
ENSG00000087116,NA,NA,ADAMTS2,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218],ADAMTS2
ENSG00000127022,NA,NA,CANX,protein_coding,calnexin [Source:HGNC Symbol;Acc:HGNC:1473],CANX
ENSG00000161011,NA,NA,SQSTM1,protein_coding,sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280],SQSTM1
ENSG00000161010,NA,ENSG00000161010,MRNIP,protein_coding,MRN complex interacting protein [Source:HGNC Symbol;Acc:HGNC:30817],MRNIP
ENSG00000113269,NA,NA,RNF130,protein_coding,ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280],RNF130
ENSG00000037280,NA,NA,FLT4,protein_coding,fms related tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767],FLT4
ENSG00000168903,NA,NA,BTNL3,protein_coding,butyrophilin like 3 [Source:HGNC Symbol;Acc:HGNC:1143],BTNL3
ENSG00000165810,NA,NA,BTNL9,protein_coding,butyrophilin like 9 [Source:HGNC Symbol;Acc:HGNC:24176],BTNL9
ENSG00000146063,NA,NA,TRIM41,protein_coding,tripartite motif containing 41 [Source:HGNC Symbol;Acc:HGNC:19013],TRIM41
ENSG00000137265,NA,NA,IRF4,protein_coding,interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119],IRF4
ENSG00000180822,NA,NA,PSMG4,protein_coding,proteasome assembly chaperone 4 [Source:HGNC Symbol;Acc:HGNC:21108],PSMG4
