human_gene_id,mouse_gene_id,zebrafish_gene_id,gene_name,gene_biotype,description,symbol
ENSG00000104518,NA,NA,GSDMD,protein_coding,gasdermin D [Source:HGNC Symbol;Acc:HGNC:25697],GSDMD
ENSG00000104522,NA,NA,TSTA3,protein_coding,tissue specific transplantation antigen P35B [Source:HGNC Symbol;Acc:HGNC:12390],TSTA3
ENSG00000183309,NA,NA,ZNF623,protein_coding,zinc finger protein 623 [Source:HGNC Symbol;Acc:HGNC:29084],ZNF623
ENSG00000178209,NA,NA,PLEC,protein_coding,plectin [Source:HGNC Symbol;Acc:HGNC:9069],PLEC
ENSG00000185803,NA,NA,SLC52A2,protein_coding,solute carrier family 52 member 2 [Source:HGNC Symbol;Acc:HGNC:30224],SLC52A2
ENSG00000167701,NA,NA,GPT,protein_coding,glutamic--pyruvic transaminase [Source:HGNC Symbol;Acc:HGNC:4552],GPT
ENSG00000096968,NA,NA,JAK2,protein_coding,Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192],JAK2
ENSG00000171843,NA,NA,MLLT3,protein_coding,"MLLT3, super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7136]",MLLT3
ENSG00000120162,NA,NA,MOB3B,protein_coding,MOB kinase activator 3B [Source:HGNC Symbol;Acc:HGNC:23825],MOB3B
ENSG00000165264,NA,NA,NDUFB6,protein_coding,NADH:ubiquinone oxidoreductase subunit B6 [Source:HGNC Symbol;Acc:HGNC:7701],NDUFB6
ENSG00000165271,NA,NA,NOL6,protein_coding,nucleolar protein 6 [Source:HGNC Symbol;Acc:HGNC:19910],NOL6
ENSG00000165280,NA,NA,VCP,protein_coding,valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666],VCP
ENSG00000159921,NA,NA,GNE,protein_coding,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:HGNC Symbol;Acc:HGNC:23657],GNE
ENSG00000107338,NA,NA,SHB,protein_coding,SH2 domain containing adaptor protein B [Source:HGNC Symbol;Acc:HGNC:10838],SHB
ENSG00000106714,NA,NA,CNTNAP3,protein_coding,contactin associated protein like 3 [Source:HGNC Symbol;Acc:HGNC:13834],CNTNAP3
ENSG00000215126,NA,NA,CBWD6,protein_coding,COBW domain containing 6 [Source:HGNC Symbol;Acc:HGNC:31978],CBWD6
ENSG00000154529,NA,NA,CNTNAP3B,protein_coding,contactin associated protein like 3B [Source:HGNC Symbol;Acc:HGNC:32035],CNTNAP3B
ENSG00000283378,NA,NA,CNTNAP3C,protein_coding,contactin associated protein like 3C [Source:HGNC Symbol;Acc:HGNC:53878],CNTNAP3C
ENSG00000147996,NA,NA,CBWD5,protein_coding,COBW domain containing 5 [Source:HGNC Symbol;Acc:HGNC:24584],CBWD5
ENSG00000196873,NA,NA,CBWD3,protein_coding,COBW domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18519],CBWD3
ENSG00000135048,NA,NA,CEMIP2,protein_coding,cell migration inducing hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:11869],CEMIP2
ENSG00000119121,NA,NA,TRPM6,protein_coding,transient receptor potential cation channel subfamily M member 6 [Source:HGNC Symbol;Acc:HGNC:17995],TRPM6
ENSG00000198000,NA,NA,NOL8,protein_coding,nucleolar protein 8 [Source:HGNC Symbol;Acc:HGNC:23387],NOL8
ENSG00000188312,NA,NA,CENPP,protein_coding,centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933],CENPP
ENSG00000165238,NA,NA,WNK2,protein_coding,WNK lysine deficient protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14542],WNK2
ENSG00000119508,NA,NA,NR4A3,protein_coding,nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982],NR4A3
ENSG00000119318,NA,NA,RAD23B,protein_coding,"RAD23 homolog B, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9813]",RAD23B
ENSG00000136875,NA,NA,PRPF4,protein_coding,pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349],PRPF4
ENSG00000119431,NA,NA,HDHD3,protein_coding,haloacid dehalogenase like hydrolase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28171],HDHD3
ENSG00000138835,NA,NA,RGS3,protein_coding,regulator of G protein signaling 3 [Source:HGNC Symbol;Acc:HGNC:9999],RGS3
ENSG00000106689,ENSG00000106689,NA,LHX2,protein_coding,LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594],LHX2
ENSG00000136935,NA,NA,GOLGA1,protein_coding,golgin A1 [Source:HGNC Symbol;Acc:HGNC:4424],GOLGA1
ENSG00000136856,NA,NA,SLC2A8,protein_coding,solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812],SLC2A8
ENSG00000106991,NA,NA,ENG,protein_coding,endoglin [Source:HGNC Symbol;Acc:HGNC:3349],ENG
ENSG00000175854,NA,NA,SWI5,protein_coding,SWI5 homologous recombination repair protein [Source:HGNC Symbol;Acc:HGNC:31412],SWI5
ENSG00000097007,NA,NA,ABL1,protein_coding,"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]",ABL1
ENSG00000283526,NA,NA,PRRT1B,protein_coding,proline rich transmembrane protein 1B [Source:HGNC Symbol;Acc:HGNC:53642],PRRT1B
ENSG00000160345,NA,NA,C9orf116,protein_coding,chromosome 9 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28435],C9orf116
ENSG00000160360,NA,ENSG00000160360,GPSM1,protein_coding,G protein signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:17858],GPSM1
ENSG00000198569,NA,NA,SLC34A3,protein_coding,solute carrier family 34 member 3 [Source:HGNC Symbol;Acc:HGNC:20305],SLC34A3
ENSG00000142102,NA,NA,PGGHG,protein_coding,protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210],PGGHG
ENSG00000177685,NA,NA,CRACR2B,protein_coding,calcium release activated channel regulator 2B [Source:HGNC Symbol;Acc:HGNC:28703],CRACR2B
ENSG00000177697,NA,NA,CD151,protein_coding,CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630],CD151
ENSG00000214063,ENSG00000214063,NA,TSPAN4,protein_coding,tetraspanin 4 [Source:HGNC Symbol;Acc:HGNC:11859],TSPAN4
ENSG00000183020,NA,NA,AP2A2,protein_coding,adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562],AP2A2
ENSG00000117984,NA,NA,CTSD,protein_coding,cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529],CTSD
ENSG00000130592,NA,NA,LSP1,protein_coding,lymphocyte specific protein 1 [Source:HGNC Symbol;Acc:HGNC:6707],LSP1
ENSG00000205531,NA,NA,NAP1L4,protein_coding,nucleosome assembly protein 1 like 4 [Source:HGNC Symbol;Acc:HGNC:7640],NAP1L4
ENSG00000129749,NA,NA,CHRNA10,protein_coding,cholinergic receptor nicotinic alpha 10 subunit [Source:HGNC Symbol;Acc:HGNC:13800],CHRNA10
ENSG00000177105,NA,NA,RHOG,protein_coding,ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672],RHOG
ENSG00000167323,ENSG00000167323,NA,STIM1,protein_coding,stromal interaction molecule 1 [Source:HGNC Symbol;Acc:HGNC:11386],STIM1
ENSG00000258659,NA,NA,TRIM34,protein_coding,tripartite motif containing 34 [Source:HGNC Symbol;Acc:HGNC:10063],TRIM34
ENSG00000166436,NA,NA,TRIM66,protein_coding,tripartite motif containing 66 [Source:HGNC Symbol;Acc:HGNC:29005],TRIM66
ENSG00000166444,NA,ENSG00000166444,ST5,protein_coding,suppression of tumorigenicity 5 [Source:HGNC Symbol;Acc:HGNC:11350],ST5
ENSG00000148926,NA,NA,ADM,protein_coding,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259],ADM
ENSG00000133816,NA,NA,MICAL2,protein_coding,"microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]",MICAL2
ENSG00000133818,NA,NA,RRAS2,protein_coding,RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271],RRAS2
ENSG00000110693,NA,NA,SOX6,protein_coding,SRY-box 6 [Source:HGNC Symbol;Acc:HGNC:16421],SOX6
ENSG00000110700,NA,NA,RPS13,protein_coding,ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386],RPS13
ENSG00000166833,NA,NA,NAV2,protein_coding,neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997],NAV2
ENSG00000148935,ENSG00000148935,NA,GAS2,protein_coding,growth arrest specific 2 [Source:HGNC Symbol;Acc:HGNC:4167],GAS2
ENSG00000129151,ENSG00000129151,NA,BBOX1,protein_coding,gamma-butyrobetaine hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:964],BBOX1
ENSG00000205213,NA,NA,LGR4,protein_coding,leucine rich repeat containing G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:13299],LGR4
ENSG00000049449,NA,NA,RCN1,protein_coding,reticulocalbin 1 [Source:HGNC Symbol;Acc:HGNC:9934],RCN1
ENSG00000184937,NA,NA,WT1,protein_coding,Wilms tumor 1 [Source:HGNC Symbol;Acc:HGNC:12796],WT1
ENSG00000151348,NA,NA,EXT2,protein_coding,exostosin glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3513],EXT2
ENSG00000156599,NA,NA,ZDHHC5,protein_coding,zinc finger DHHC-type containing 5 [Source:HGNC Symbol;Acc:HGNC:18472],ZDHHC5
ENSG00000172377,NA,NA,OR9I1,protein_coding,olfactory receptor family 9 subfamily I member 1 [Source:HGNC Symbol;Acc:HGNC:14718],OR9I1
ENSG00000166801,NA,NA,FAM111A,protein_coding,family with sequence similarity 111 member A [Source:HGNC Symbol;Acc:HGNC:24725],FAM111A
ENSG00000166902,NA,NA,MRPL16,protein_coding,mitochondrial ribosomal protein L16 [Source:HGNC Symbol;Acc:HGNC:14476],MRPL16
ENSG00000149516,NA,NA,MS4A3,protein_coding,membrane spanning 4-domains A3 [Source:HGNC Symbol;Acc:HGNC:7317],MS4A3
ENSG00000006118,NA,NA,TMEM132A,protein_coding,transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092],TMEM132A
ENSG00000187049,NA,NA,TMEM216,protein_coding,transmembrane protein 216 [Source:HGNC Symbol;Acc:HGNC:25018],TMEM216
ENSG00000162148,NA,NA,PPP1R32,protein_coding,protein phosphatase 1 regulatory subunit 32 [Source:HGNC Symbol;Acc:HGNC:28869],PPP1R32
ENSG00000134824,NA,NA,FADS2,protein_coding,fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575],FADS2
ENSG00000167996,ENSG00000167996,ENSG00000167996,FTH1,protein_coding,ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976],FTH1
ENSG00000149016,NA,NA,TUT1,protein_coding,"terminal uridylyl transferase 1, U6 snRNA-specific [Source:HGNC Symbol;Acc:HGNC:26184]",TUT1
ENSG00000149541,NA,NA,B3GAT3,protein_coding,"beta-1,3-glucuronyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:923]",B3GAT3
ENSG00000184743,NA,NA,ATL3,protein_coding,atlastin GTPase 3 [Source:HGNC Symbol;Acc:HGNC:24526],ATL3
ENSG00000168066,NA,NA,SF1,protein_coding,splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:12950],SF1
ENSG00000133895,NA,NA,MEN1,protein_coding,menin 1 [Source:HGNC Symbol;Acc:HGNC:7010],MEN1
ENSG00000149823,NA,NA,VPS51,protein_coding,"VPS51, GARP complex subunit [Source:HGNC Symbol;Acc:HGNC:1172]",VPS51
ENSG00000172757,NA,NA,CFL1,protein_coding,cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874],CFL1
ENSG00000172638,ENSG00000172638,NA,EFEMP2,protein_coding,EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219],EFEMP2
ENSG00000174744,NA,NA,BRMS1,protein_coding,"BRMS1, transcriptional repressor and anoikis regulator [Source:HGNC Symbol;Acc:HGNC:17262]",BRMS1
ENSG00000239306,NA,NA,RBM14,protein_coding,RNA binding motif protein 14 [Source:HGNC Symbol;Acc:HGNC:14219],RBM14
ENSG00000173621,NA,NA,LRFN4,protein_coding,leucine rich repeat and fibronectin type III domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28456],LRFN4
ENSG00000175463,NA,NA,TBC1D10C,protein_coding,TBC1 domain family member 10C [Source:HGNC Symbol;Acc:HGNC:24702],TBC1D10C
ENSG00000085733,NA,NA,CTTN,protein_coding,cortactin [Source:HGNC Symbol;Acc:HGNC:3338],CTTN
ENSG00000162129,NA,NA,CLPB,protein_coding,"ClpB homolog, mitochondrial AAA ATPase chaperonin [Source:HGNC Symbol;Acc:HGNC:30664]",CLPB
ENSG00000171631,NA,NA,P2RY6,protein_coding,pyrimidinergic receptor P2Y6 [Source:HGNC Symbol;Acc:HGNC:8543],P2RY6
ENSG00000110237,NA,NA,ARHGEF17,protein_coding,Rho guanine nucleotide exchange factor 17 [Source:HGNC Symbol;Acc:HGNC:21726],ARHGEF17
ENSG00000054967,ENSG00000054967,NA,RELT,protein_coding,"RELT, TNF receptor [Source:HGNC Symbol;Acc:HGNC:13764]",RELT
ENSG00000187726,NA,NA,DNAJB13,protein_coding,DnaJ heat shock protein family (Hsp40) member B13 [Source:HGNC Symbol;Acc:HGNC:30718],DNAJB13
ENSG00000165434,NA,NA,PGM2L1,protein_coding,phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898],PGM2L1
ENSG00000188997,NA,NA,KCTD21,protein_coding,potassium channel tetramerization domain containing 21 [Source:HGNC Symbol;Acc:HGNC:27452],KCTD21
ENSG00000137494,NA,NA,ANKRD42,protein_coding,ankyrin repeat domain 42 [Source:HGNC Symbol;Acc:HGNC:26752],ANKRD42
ENSG00000074266,ENSG00000074266,NA,EED,protein_coding,embryonic ectoderm development [Source:HGNC Symbol;Acc:HGNC:3188],EED
ENSG00000077616,NA,NA,NAALAD2,protein_coding,N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:14526],NAALAD2
ENSG00000166004,NA,NA,CEP295,protein_coding,centrosomal protein 295 [Source:HGNC Symbol;Acc:HGNC:29366],CEP295
ENSG00000255501,NA,NA,CARD18,protein_coding,caspase recruitment domain family member 18 [Source:HGNC Symbol;Acc:HGNC:28861],CARD18
ENSG00000255561,NA,NA,FDXACB1,protein_coding,ferredoxin-fold anticodon binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25110],FDXACB1
ENSG00000150764,NA,NA,DIXDC1,protein_coding,DIX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23695],DIXDC1
ENSG00000186318,NA,NA,BACE1,protein_coding,beta-secretase 1 [Source:HGNC Symbol;Acc:HGNC:933],BACE1
ENSG00000256269,ENSG00000256269,NA,HMBS,protein_coding,hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982],HMBS
ENSG00000172269,NA,NA,DPAGT1,protein_coding,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:2995],DPAGT1
ENSG00000137699,NA,NA,TRIM29,protein_coding,tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274],TRIM29
ENSG00000023171,NA,ENSG00000023171,GRAMD1B,protein_coding,GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214],GRAMD1B
ENSG00000120458,NA,ENSG00000120458,MSANTD2,protein_coding,Myb/SANT DNA binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26266],MSANTD2
ENSG00000149554,NA,NA,CHEK1,protein_coding,checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925],CHEK1
ENSG00000166105,NA,NA,GLB1L3,protein_coding,galactosidase beta 1 like 3 [Source:HGNC Symbol;Acc:HGNC:25147],GLB1L3
ENSG00000108021,NA,NA,FAM208B,protein_coding,family with sequence similarity 208 member B [Source:HGNC Symbol;Acc:HGNC:23484],FAM208B
ENSG00000048740,NA,NA,CELF2,protein_coding,CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550],CELF2
ENSG00000148429,ENSG00000148429,NA,USP6NL,protein_coding,USP6 N-terminal like [Source:HGNC Symbol;Acc:HGNC:16858],USP6NL
ENSG00000086475,NA,NA,SEPHS1,protein_coding,selenophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:19685],SEPHS1
ENSG00000165630,NA,NA,PRPF18,protein_coding,pre-mRNA processing factor 18 [Source:HGNC Symbol;Acc:HGNC:17351],PRPF18
ENSG00000065809,NA,NA,FAM107B,protein_coding,family with sequence similarity 107 member B [Source:HGNC Symbol;Acc:HGNC:23726],FAM107B
ENSG00000165983,NA,NA,PTER,protein_coding,phosphotriesterase related [Source:HGNC Symbol;Acc:HGNC:9590],PTER
ENSG00000026025,NA,NA,VIM,protein_coding,vimentin [Source:HGNC Symbol;Acc:HGNC:12692],VIM
ENSG00000148488,NA,NA,ST8SIA6,protein_coding,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:23317]",ST8SIA6
ENSG00000120549,NA,NA,KIAA1217,protein_coding,KIAA1217 [Source:HGNC Symbol;Acc:HGNC:25428],KIAA1217
ENSG00000107897,NA,NA,ACBD5,protein_coding,acyl-CoA binding domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23338],ACBD5
ENSG00000170759,NA,NA,KIF5B,protein_coding,kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324],KIF5B
ENSG00000150093,NA,NA,ITGB1,protein_coding,integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153],ITGB1
ENSG00000108094,ENSG00000108094,NA,CUL2,protein_coding,cullin 2 [Source:HGNC Symbol;Acc:HGNC:2552],CUL2
ENSG00000198915,NA,NA,RASGEF1A,protein_coding,RasGEF domain family member 1A [Source:HGNC Symbol;Acc:HGNC:24246],RASGEF1A
ENSG00000165406,NA,NA,MARCH8,protein_coding,membrane associated ring-CH-type finger 8 [Source:HGNC Symbol;Acc:HGNC:23356],MARCH8
ENSG00000165449,NA,NA,SLC16A9,protein_coding,solute carrier family 16 member 9 [Source:HGNC Symbol;Acc:HGNC:23520],SLC16A9
ENSG00000138347,NA,NA,MYPN,protein_coding,myopalladin [Source:HGNC Symbol;Acc:HGNC:23246],MYPN
ENSG00000165732,NA,NA,DDX21,protein_coding,DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744],DDX21
ENSG00000156502,NA,NA,SUPV3L1,protein_coding,Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471],SUPV3L1
ENSG00000138303,NA,NA,ASCC1,protein_coding,activating signal cointegrator 1 complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24268],ASCC1
ENSG00000122882,ENSG00000122882,NA,ECD,protein_coding,ecdysoneless cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:17029],ECD
ENSG00000079393,NA,NA,DUSP13,protein_coding,dual specificity phosphatase 13 [Source:HGNC Symbol;Acc:HGNC:19681],DUSP13
ENSG00000165637,NA,NA,VDAC2,protein_coding,voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672],VDAC2
ENSG00000184719,NA,NA,RNLS,protein_coding,"renalase, FAD dependent amine oxidase [Source:HGNC Symbol;Acc:HGNC:25641]",RNLS
ENSG00000165886,NA,NA,UBTD1,protein_coding,ubiquitin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25683],UBTD1
ENSG00000120053,NA,NA,GOT1,protein_coding,glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432],GOT1
ENSG00000107566,NA,NA,ERLIN1,protein_coding,ER lipid raft associated 1 [Source:HGNC Symbol;Acc:HGNC:16947],ERLIN1
ENSG00000107831,NA,NA,FGF8,protein_coding,fibroblast growth factor 8 [Source:HGNC Symbol;Acc:HGNC:3686],FGF8
ENSG00000165816,ENSG00000165816,NA,VWA2,protein_coding,von Willebrand factor A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24709],VWA2
ENSG00000119979,ENSG00000119979,NA,FAM45A,protein_coding,family with sequence similarity 45 member A [Source:HGNC Symbol;Acc:HGNC:31793],FAM45A
ENSG00000151929,NA,NA,BAG3,protein_coding,BCL2 associated athanogene 3 [Source:HGNC Symbol;Acc:HGNC:939],BAG3
ENSG00000138162,NA,NA,TACC2,protein_coding,transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523],TACC2
ENSG00000119965,ENSG00000119965,NA,C10orf88,protein_coding,chromosome 10 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:25822],C10orf88
ENSG00000189319,ENSG00000189319,NA,FAM53B,protein_coding,family with sequence similarity 53 member B [Source:HGNC Symbol;Acc:HGNC:28968],FAM53B
ENSG00000203780,NA,NA,FANK1,protein_coding,fibronectin type III and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:23527],FANK1
ENSG00000132334,NA,NA,PTPRE,protein_coding,"protein tyrosine phosphatase, receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]",PTPRE
ENSG00000130640,NA,NA,TUBGCP2,protein_coding,tubulin gamma complex associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18599],TUBGCP2
ENSG00000165828,NA,NA,PRAP1,protein_coding,proline rich acidic protein 1 [Source:HGNC Symbol;Acc:HGNC:23304],PRAP1
ENSG00000139180,NA,NA,NDUFA9,protein_coding,NADH:ubiquinone oxidoreductase subunit A9 [Source:HGNC Symbol;Acc:HGNC:7693],NDUFA9
ENSG00000111652,ENSG00000111652,NA,COPS7A,protein_coding,COP9 signalosome subunit 7A [Source:HGNC Symbol;Acc:HGNC:16758],COPS7A
ENSG00000089693,NA,NA,MLF2,protein_coding,myeloid leukemia factor 2 [Source:HGNC Symbol;Acc:HGNC:7126],MLF2
ENSG00000250510,NA,NA,GPR162,protein_coding,G protein-coupled receptor 162 [Source:HGNC Symbol;Acc:HGNC:16693],GPR162
ENSG00000111667,NA,NA,USP5,protein_coding,ubiquitin specific peptidase 5 [Source:HGNC Symbol;Acc:HGNC:12628],USP5
ENSG00000010626,NA,NA,LRRC23,protein_coding,leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138],LRRC23
ENSG00000159403,NA,NA,C1R,protein_coding,complement C1r [Source:HGNC Symbol;Acc:HGNC:1246],C1R
ENSG00000111704,NA,NA,NANOG,protein_coding,Nanog homeobox [Source:HGNC Symbol;Acc:HGNC:20857],NANOG
ENSG00000150048,NA,NA,CLEC1A,protein_coding,C-type lectin domain family 1 member A [Source:HGNC Symbol;Acc:HGNC:24355],CLEC1A
ENSG00000165685,NA,NA,TMEM52B,protein_coding,transmembrane protein 52B [Source:HGNC Symbol;Acc:HGNC:26438],TMEM52B
ENSG00000111339,NA,NA,ART4,protein_coding,ADP-ribosyltransferase 4 (Dombrock blood group) [Source:HGNC Symbol;Acc:HGNC:726],ART4
ENSG00000139055,NA,NA,ERP27,protein_coding,endoplasmic reticulum protein 27 [Source:HGNC Symbol;Acc:HGNC:26495],ERP27
ENSG00000111348,NA,NA,ARHGDIB,protein_coding,Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679],ARHGDIB
ENSG00000123095,NA,NA,BHLHE41,protein_coding,basic helix-loop-helix family member e41 [Source:HGNC Symbol;Acc:HGNC:16617],BHLHE41
ENSG00000123104,NA,NA,ITPR2,protein_coding,"inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]",ITPR2
ENSG00000064102,NA,NA,INTS13,protein_coding,integrator complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:20174],INTS13
ENSG00000123106,NA,NA,CCDC91,protein_coding,coiled-coil domain containing 91 [Source:HGNC Symbol;Acc:HGNC:24855],CCDC91
ENSG00000139132,NA,NA,FGD4,protein_coding,"FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]",FGD4
ENSG00000110975,NA,NA,SYT10,protein_coding,synaptotagmin 10 [Source:HGNC Symbol;Acc:HGNC:19266],SYT10
ENSG00000184613,NA,NA,NELL2,protein_coding,neural EGFL like 2 [Source:HGNC Symbol;Acc:HGNC:7751],NELL2
ENSG00000167528,NA,ENSG00000167528,ZNF641,protein_coding,zinc finger protein 641 [Source:HGNC Symbol;Acc:HGNC:31834],ZNF641
ENSG00000167552,NA,NA,TUBA1A,protein_coding,tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766],TUBA1A
ENSG00000135406,NA,NA,PRPH,protein_coding,peripherin [Source:HGNC Symbol;Acc:HGNC:9461],PRPH
ENSG00000186897,NA,NA,C1QL4,protein_coding,complement C1q like 4 [Source:HGNC Symbol;Acc:HGNC:31416],C1QL4
ENSG00000178401,NA,NA,DNAJC22,protein_coding,DnaJ heat shock protein family (Hsp40) member C22 [Source:HGNC Symbol;Acc:HGNC:25802],DNAJC22
ENSG00000050405,NA,NA,LIMA1,protein_coding,LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636],LIMA1
ENSG00000123268,ENSG00000123268,NA,ATF1,protein_coding,activating transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:783],ATF1
ENSG00000167612,NA,NA,ANKRD33,protein_coding,ankyrin repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:13788],ANKRD33
ENSG00000123358,NA,NA,NR4A1,protein_coding,nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980],NR4A1
ENSG00000172819,ENSG00000172819,NA,RARG,protein_coding,retinoic acid receptor gamma [Source:HGNC Symbol;Acc:HGNC:9866],RARG
ENSG00000123360,NA,NA,PDE1B,protein_coding,phosphodiesterase 1B [Source:HGNC Symbol;Acc:HGNC:8775],PDE1B
ENSG00000135426,NA,NA,TESPA1,protein_coding,"thymocyte expressed, positive selection associated 1 [Source:HGNC Symbol;Acc:HGNC:29109]",TESPA1
ENSG00000179695,NA,NA,OR6C2,protein_coding,olfactory receptor family 6 subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:15436],OR6C2
ENSG00000135404,NA,NA,CD63,protein_coding,CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692],CD63
ENSG00000110958,NA,NA,PTGES3,protein_coding,prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049],PTGES3
ENSG00000166888,NA,NA,STAT6,protein_coding,signal transducer and activator of transcription 6 [Source:HGNC Symbol;Acc:HGNC:11368],STAT6
ENSG00000123297,NA,NA,TSFM,protein_coding,"Ts translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12367]",TSFM
ENSG00000061987,NA,NA,MON2,protein_coding,"MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]",MON2
ENSG00000090376,NA,NA,IRAK3,protein_coding,interleukin 1 receptor associated kinase 3 [Source:HGNC Symbol;Acc:HGNC:17020],IRAK3
ENSG00000111530,NA,NA,CAND1,protein_coding,cullin associated and neddylation dissociated 1 [Source:HGNC Symbol;Acc:HGNC:30688],CAND1
ENSG00000067798,NA,NA,NAV3,protein_coding,neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998],NAV3
ENSG00000180263,NA,NA,FGD6,protein_coding,"FYVE, RhoGEF and PH domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21740]",FGD6
